Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PTS
1,James Harden,PG,29,HOU,78,78,2867,843,1909,.442,378,1028,.368,754,858,.879,518,586,158,58,387,2818
2,Paul George,SF,28,OKC,77,77,2841,707,1614,.438,292,757,.386,453,540,.839,628,318,170,34,205,2159
3,Kemba Walker,PG,28,CHO,82,82,2863,731,1684,.434,260,731,.356,380,450,.844,361,484,102,34,211,2102
4,Bradley Beal,SG,25,WAS,82,82,3028,764,1609,.475,209,596,.351,362,448,.808,411,448,121,58,224,2099
5,Damian Lillard,PG,28,POR,80,80,2838,681,1533,.444,237,643,.369,468,513,.912,371,551,88,34,212,2067
6,Kevin Durant,PF,30,GSW,78,78,2702,721,1383,.521,137,388,.353,448,506,.885,497,457,58,84,225,2027
7,Giannis Antetokounmpo,PF,24,MIL,72,72,2358,721,1247,.578,52,203,.256,500,686,.729,898,424,92,110,268,1994
8,Stephen Curry,PG,30,GSW,69,69,2331,632,1340,.472,354,810,.437,263,287,.916,369,361,92,25,192,1881
9,Karl-Anthony Towns,C,23,MIN,77,77,2545,681,1314,.518,142,355,.400,376,450,.836,954,259,67,125,240,1880
10,Blake Griffin,PF,29,DET,75,75,2622,619,1341,.462,189,522,.362,414,550,.753,565,402,52,28,253,1841
11,Donovan Mitchell,SG,22,UTA,77,77,2598,661,1530,.432,188,519,.362,319,396,.806,316,322,106,31,218,1829
12,Joel Embiid,C,24,PHI,64,64,2154,580,1199,.484,79,263,.300,522,649,.804,871,234,46,122,226,1761
13,LaMarcus Aldridge,C,33,SAS,81,81,2687,684,1319,.519,10,42,.238,349,412,.847,744,194,43,107,144,1727
14,D'Angelo Russell,PG,22,BRK,81,81,2448,659,1517,.434,234,635,.369,160,205,.780,315,563,100,20,253,1712
15,Devin Booker,SG,22,PHO,64,64,2242,586,1255,.467,135,414,.326,393,454,.866,265,433,56,13,264,1700
16,Buddy Hield,SG,26,SAC,82,82,2615,623,1360,.458,278,651,.427,171,193,.886,412,205,58,33,146,1695
17,Klay Thompson,SG,28,GSW,78,78,2652,655,1402,.467,241,599,.402,129,158,.816,299,186,84,47,115,1680
18,Russell Westbrook,PG,30,OKC,73,73,2630,630,1473,.428,119,411,.290,296,451,.656,807,784,142,33,325,1675
19,Nikola Vucevic,C,28,ORL,80,80,2510,701,1354,.518,84,231,.364,179,227,.789,960,307,81,89,159,1665
20,Tobias Harris,PF,26,TOT,82,82,2847,611,1254,.487,156,393,.397,266,307,.866,645,229,51,37,151,1644
21,DeMar DeRozan,SG,29,SAS,77,77,2688,631,1313,.481,7,45,.156,366,441,.830,462,475,86,36,199,1635
22,Nikola Jokic,C,23,DEN,80,80,2504,616,1206,.511,83,270,.307,289,352,.821,865,580,108,55,248,1604
23,Kyrie Irving,PG,26,BOS,67,67,2214,604,1241,.487,174,434,.401,214,245,.873,335,464,103,34,172,1596
24,Kawhi Leonard,SF,27,TOR,60,60,2040,560,1129,.496,112,302,.371,364,426,.854,439,199,106,24,121,1596
25,Julius Randle,PF,24,NOP,73,49,2232,571,1089,.524,67,195,.344,356,487,.731,634,229,52,45,208,1565
26,Trae Young,PG,20,ATL,81,81,2503,525,1256,.418,156,482,.324,343,414,.829,301,653,72,15,308,1549
27,Luka Doncic,SG,19,DAL,72,72,2318,506,1186,.427,168,514,.327,346,485,.713,563,429,77,25,247,1526
28,LeBron James,SF,34,LAL,55,55,1937,558,1095,.510,111,327,.339,278,418,.665,465,454,72,33,197,1505
29,Lou Williams,SG,32,LAC,75,1,1993,484,1138,.425,105,291,.361,425,485,.876,222,402,57,11,181,1498
30,Zach LaVine,SG,23,CHI,63,62,2171,530,1135,.467,120,321,.374,312,375,.832,294,283,60,26,215,1492
31,Mike Conley,PG,31,MEM,70,70,2342,490,1120,.438,155,426,.364,343,406,.845,239,449,94,22,130,1478
32,CJ McCollum,SG,27,POR,70,70,2375,571,1243,.459,167,445,.375,159,192,.828,282,207,55,28,106,1468
33,Bojan Bogdanovic,SF,29,IND,81,81,2573,522,1051,.497,164,386,.425,246,305,.807,333,161,69,1,134,1454
34,Anthony Davis,C,25,NOP,56,56,1850,530,1026,.517,48,145,.331,344,433,.794,672,218,88,135,112,1452
35,Jrue Holiday,SG,28,NOP,67,67,2402,547,1159,.472,118,363,.325,208,271,.768,334,518,109,54,210,1420
36,Khris Middleton,SF,27,MIL,77,77,2393,506,1148,.441,179,474,.378,216,258,.837,461,331,80,7,174,1407
37,De'Aaron Fox,PG,21,SAC,81,81,2546,505,1102,.458,86,232,.371,303,417,.727,304,590,133,45,227,1399
38,J.J. Redick,SG,34,PHI,76,63,2379,452,1027,.440,240,605,.397,228,255,.894,186,206,32,17,101,1372
39,Collin Sexton,PG,20,CLE,82,72,2605,519,1206,.430,119,296,.402,214,255,.839,236,243,44,6,185,1371
40,Andre Drummond,C,25,DET,79,79,2647,561,1052,.533,5,38,.132,243,412,.590,1232,112,136,138,175,1370
41,Jamal Murray,PG,21,DEN,75,74,2447,513,1173,.437,152,414,.367,189,223,.848,317,363,67,27,158,1367
42,Jordan Clarkson,SG,26,CLE,81,0,2214,529,1180,.448,144,445,.324,162,192,.844,270,196,57,13,135,1364
43,Montrezl Harrell,C,25,LAC,82,5,2158,546,888,.615,3,17,.176,266,414,.643,535,162,71,110,132,1361
44,Pascal Siakam,PF,24,TOR,80,79,2548,519,945,.549,79,214,.369,237,302,.785,549,248,73,52,154,1354
45,Danilo Gallinari,SF,30,LAC,68,68,2059,409,884,.463,161,372,.433,367,406,.904,417,178,49,23,99,1346
46,Ben Simmons,PG,22,PHI,79,79,2700,540,960,.563,0,6,.000,257,428,.600,697,610,112,61,274,1337
47,Andrew Wiggins,SF,23,MIN,73,73,2543,498,1209,.412,118,348,.339,207,296,.699,352,184,70,48,138,1321
48,Kyle Kuzma,PF,23,LAL,70,68,2314,496,1087,.456,128,422,.303,188,250,.752,382,178,41,26,133,1308
49,Rudy Gobert,C,26,UTA,81,80,2577,476,712,.669,0,0,,332,522,.636,1041,161,66,187,130,1284
50,Harrison Barnes,PF-SF,26,TOT,77,77,2533,431,1027,.420,174,441,.395,229,278,.824,361,115,50,13,98,1265
51,Reggie Jackson,PG,28,DET,82,82,2289,441,1047,.421,174,471,.369,204,236,.864,216,344,55,9,148,1260
52,Aaron Gordon,PF,23,ORL,78,78,2633,470,1046,.449,121,347,.349,185,253,.731,574,289,57,56,162,1246
53,Jayson Tatum,SF,20,BOS,79,79,2455,466,1036,.450,116,311,.373,195,228,.855,477,168,84,57,122,1243
54,Eric Bledsoe,PG,29,MIL,78,78,2272,470,971,.484,124,377,.329,177,236,.750,362,430,116,29,165,1241
55,Evan Fournier,SG,26,ORL,81,81,2553,468,1069,.438,153,450,.340,137,170,.806,258,295,71,12,154,1226
56,Dennis Schroder,PG,25,OKC,79,14,2314,457,1104,.414,124,364,.341,186,227,.819,284,323,65,12,172,1224
57,Terrence Ross,SG,27,ORL,81,0,2150,440,1027,.428,217,566,.383,126,144,.875,280,135,72,29,90,1223
58,Jimmy Butler,SF-SG,29,TOT,65,65,2185,418,904,.462,67,193,.347,312,365,.855,342,263,123,39,95,1215
59,Josh Richardson,SG,25,MIA,73,73,2539,423,1026,.412,164,460,.357,199,231,.861,263,298,79,34,113,1209
60,Jeremy Lamb,SG,26,CHO,79,55,2250,431,979,.440,115,330,.348,231,260,.888,434,172,88,32,80,1208
61,John Collins,PF,21,ATL,61,59,1829,465,831,.560,55,158,.348,203,266,.763,595,121,22,39,120,1188
62,Tim Hardaway,SG,26,TOT,65,63,2057,390,993,.393,162,477,.340,232,276,.841,222,159,54,8,105,1174
63,Deandre Ayton,C,20,PHO,71,70,2183,509,870,.585,0,4,.000,141,189,.746,729,125,61,67,126,1159
64,Spencer Dinwiddie,PG,25,BRK,68,4,1914,366,828,.442,124,370,.335,287,356,.806,166,311,40,17,152,1143
65,Jusuf Nurkic,C,24,POR,72,72,1974,420,826,.508,3,29,.103,282,365,.773,748,233,71,103,168,1125
66,Clint Capela,C,24,HOU,67,67,2249,474,732,.648,0,0,,166,261,.636,848,96,44,102,94,1114
67,Serge Ibaka,C,29,TOR,74,51,2010,464,877,.529,49,169,.290,135,177,.763,601,99,29,103,114,1112
68,Steven Adams,C,25,OKC,80,80,2669,481,809,.595,0,2,.000,146,292,.500,760,124,117,76,135,1108
69,Eric Gordon,SG,30,HOU,68,53,2158,384,938,.409,216,600,.360,119,152,.783,148,129,41,27,90,1103
70,Jerami Grant,PF,24,OKC,80,77,2612,409,823,.497,115,293,.392,157,221,.710,417,79,61,100,67,1090
71,Dwyane Wade,SG,37,MIA,72,2,1885,416,960,.433,86,261,.330,165,233,.708,285,301,59,38,166,1083
72,Marc Gasol,C,34,TOT,79,72,2436,390,870,.448,99,273,.363,192,253,.759,627,349,84,86,155,1071
73,Kelly Oubre,SF,23,TOT,69,19,1935,375,842,.445,108,338,.320,189,244,.775,325,84,84,59,103,1047
74,Marcus Morris,PF,29,BOS,75,53,2091,377,844,.447,146,389,.375,146,173,.844,458,109,43,25,92,1046
75,Domantas Sabonis,C,22,IND,74,5,1838,413,700,.590,9,17,.529,208,291,.715,690,212,48,30,160,1043
76,Joe Harris,SG,27,BRK,76,76,2293,374,748,.500,183,386,.474,110,133,.827,291,181,38,17,121,1041
77,Thaddeus Young,PF,30,IND,81,81,2489,443,841,.527,51,146,.349,87,135,.644,523,204,123,36,123,1024
78,Brook Lopez,C,30,MIL,81,81,2322,355,786,.452,187,512,.365,112,133,.842,396,98,51,179,82,1009
79,Malcolm Brogdon,SG,26,MIL,64,64,1832,378,748,.505,104,244,.426,141,152,.928,288,205,46,13,91,1001
80,Joe Ingles,PF,31,UTA,82,82,2568,359,802,.448,189,483,.391,87,123,.707,330,469,98,20,193,994
81,Cedi Osman,SF,23,CLE,76,75,2444,360,844,.427,130,374,.348,141,181,.779,357,195,60,11,114,991
82,Bogdan Bogdanovic,SG,26,SAC,70,17,1947,361,863,.418,134,372,.360,134,162,.827,243,267,72,15,117,990
83,Myles Turner,C,22,IND,74,74,2119,380,780,.487,76,196,.388,148,201,.736,531,115,60,199,100,984
84,Lauri Markkanen,PF,21,CHI,52,51,1682,342,795,.430,120,332,.361,170,195,.872,470,75,37,33,85,974
85,Bryn Forbes,SG,25,SAS,82,81,2293,361,791,.456,176,413,.426,69,78,.885,239,175,45,4,80,967
86,Willie Cauley-Stein,C,25,SAC,81,81,2213,412,741,.556,1,2,.500,140,254,.551,678,194,96,51,84,965
87,Jaylen Brown,SG,22,BOS,74,25,1913,368,792,.465,95,276,.344,133,202,.658,313,100,69,32,99,964
88,Kevin Knox,PF,19,NYK,75,57,2158,338,914,.370,125,364,.343,162,226,.717,335,82,43,24,114,963
89,Jae Crowder,SF,28,UTA,80,11,2166,318,797,.399,173,522,.331,142,197,.721,384,133,64,31,85,951
90,Brandon Ingram,SF,21,LAL,52,52,1760,362,729,.497,31,94,.330,195,289,.675,267,154,28,31,129,950
91,D.J. Augustin,PG,31,ORL,81,81,2269,318,677,.470,131,311,.421,181,209,.866,203,426,52,4,128,948
92,Rudy Gay,PF,32,SAS,69,51,1842,376,746,.504,74,184,.402,120,147,.816,470,182,54,34,114,946
93,Jeff Green,PF,32,WAS,77,44,2097,326,687,.475,111,320,.347,183,206,.888,309,137,43,39,101,946
94,Kentavious Caldwell-Pope,SG,25,LAL,82,23,2035,325,756,.430,151,435,.347,137,158,.867,238,110,73,13,65,938
95,Jabari Parker,PF,23,TOT,64,17,1724,369,749,.493,61,195,.313,131,184,.712,421,152,46,30,151,930
96,Kyle Lowry,PG,32,TOR,65,65,2213,304,739,.411,157,453,.347,161,194,.830,312,564,91,31,182,926
97,Al Horford,C,32,BOS,68,68,1973,387,723,.535,73,203,.360,78,95,.821,458,283,59,86,102,925
98,Marvin Bagley,PF,19,SAC,62,4,1567,356,706,.504,30,96,.313,181,262,.691,471,62,33,59,98,923
103,Chris Paul,PG,33,HOU,58,58,1857,302,720,.419,127,355,.358,175,203,.862,265,473,114,18,152,906
121,Gordon Hayward,PF,28,BOS,72,18,1863,296,635,.466,77,231,.333,156,187,.834,322,244,62,23,105,825
107,Hassan Whiteside,C,29,MIA,72,53,1674,388,680,.571,2,16,.125,109,243,.449,817,56,46,136,97,887

